sequence,labels,scores
"Eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ok?! Só peço que aguarde um momento, por favor! 😊",confirmação,"10,4%"
"Eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ok?! Só peço que aguarde um momento, por favor! 😊",questionamento,"9,0%"
"Eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ok?! Só peço que aguarde um momento, por favor! 😊",encaminhar,"2,8%"
"Eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ok?! Só peço que aguarde um momento, por favor! 😊",negativa,"1,6%"
"Entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, tudo bem?",questionamento,"55,4%"
"Entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, tudo bem?",solicitação,"21,0%"
"Entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, tudo bem?",confirmação,"11,1%"
"Entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, tudo bem?",aguardar,"9,2%"
"Entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, tudo bem?",encaminhar,"2,9%"
"Entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, tudo bem?",negativa,"0,4%"
"Olá, Vinícius, tudo bem? Meu nome é Maysa e te atenderei a partir de agora.🏃‍♀️",questionamento,"41,4%"
"Olá, Vinícius, tudo bem? Meu nome é Maysa e te atenderei a partir de agora.🏃‍♀️",confirmação,"36,3%"
"Olá, Vinícius, tudo bem? Meu nome é Maysa e te atenderei a partir de agora.🏃‍♀️",solicitação,"12,5%"
"Olá, Vinícius, tudo bem? Meu nome é Maysa e te atenderei a partir de agora.🏃‍♀️",aguardar,"5,0%"
"Olá, Vinícius, tudo bem? Meu nome é Maysa e te atenderei a partir de agora.🏃‍♀️",encaminhar,"3,9%"
"Olá, Vinícius, tudo bem? Meu nome é Maysa e te atenderei a partir de agora.🏃‍♀️",negativa,"0,9%"
"Agora, preciso, por gentileza, que você me confirme algumas informações, tá bem?​",questionamento,"45,5%"
"Agora, preciso, por gentileza, que você me confirme algumas informações, tá bem?​",confirmação,"25,8%"
"Agora, preciso, por gentileza, que você me confirme algumas informações, tá bem?​",solicitação,"19,1%"
"Agora, preciso, por gentileza, que você me confirme algumas informações, tá bem?​",aguardar,"7,1%"
"Agora, preciso, por gentileza, que você me confirme algumas informações, tá bem?​",encaminhar,"2,3%"
"Agora, preciso, por gentileza, que você me confirme algumas informações, tá bem?​",negativa,"0,3%"
"Peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",solicitação,"48,0%"
"Peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",aguardar,"23,8%"
"Peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",confirmação,"17,8%"
"Peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",questionamento,"7,2%"
"Peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",encaminhar,"2,8%"
"Peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",negativa,"0,4%"
"Aguarde um momento, por favor! É importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",aguardar,"75,9%"
"Aguarde um momento, por favor! É importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",questionamento,"14,6%"
"Aguarde um momento, por favor! É importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",confirmação,"3,9%"
"Aguarde um momento, por favor! É importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",encaminhar,"3,3%"
"Aguarde um momento, por favor! É importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",solicitação,"1,9%"
"Aguarde um momento, por favor! É importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",negativa,"0,4%"
"Me chamo Natalice e irei te ajudar hoje. Peço por gentileza, que permaneça aqui na conversa",aguardar,"52,7%"
"Me chamo Natalice e irei te ajudar hoje. Peço por gentileza, que permaneça aqui na conversa",solicitação,"32,9%"
"Me chamo Natalice e irei te ajudar hoje. Peço por gentileza, que permaneça aqui na conversa",confirmação,"8,3%"
"Me chamo Natalice e irei te ajudar hoje. Peço por gentileza, que permaneça aqui na conversa",questionamento,"3,6%"
"Me chamo Natalice e irei te ajudar hoje. Peço por gentileza, que permaneça aqui na conversa",encaminhar,"1,8%"
"Me chamo Natalice e irei te ajudar hoje. Peço por gentileza, que permaneça aqui na conversa",negativa,"0,6%"
"Você pode me contar melhor qual a sua dúvida, por gentileza?",questionamento,"79,4%"
"Você pode me contar melhor qual a sua dúvida, por gentileza?",solicitação,"10,5%"
"Você pode me contar melhor qual a sua dúvida, por gentileza?",aguardar,"5,0%"
"Você pode me contar melhor qual a sua dúvida, por gentileza?",encaminhar,"2,7%"
"Você pode me contar melhor qual a sua dúvida, por gentileza?",confirmação,"1,9%"
"Você pode me contar melhor qual a sua dúvida, por gentileza?",negativa,"0,5%"
