,sequence,labels,scores
84,"ana, se feita após às 17h, será agendada para o próximo dia útil, sendo repassada ao banco destinatário no primeiro horário do dia.",aguardar,0.4519379138946533
88,agradeço pelo envio do print!,aguardar,0.7247063517570496
92,"andreza, é importante ressaltar que ao final deste atendimento o seu cartão será bloqueado permanentemente, para a sua segurança e para ser possível abrirmos a análise sobre as compras que desconhece.",aguardar,0.471097469329834
96,"gostaria de reforçar que se não houver pagamento, o seu acordo poderá ser cancelado e perde o direito aos termos desta negociação. é muito importante que cumpra com o pagamento até a data acordada.",aguardar,0.4585963785648346
100,"olá, maria, bom dia!  eu sou a jú e estou aqui pra te ajudar! 🌷",aguardar,0.4911492168903351
108,sinto muito pelo ocorrido. ,seguir,0.4909135401248932
112,"você tentou realizar alguma compra em sites ou anúncio em redes sociais (instagram, facebo, etc.) e não deu certo",questionamento,0.7345969080924988
124,meu nome é thaís e estou aqui para te auxiliar. 😍,aguardar,0.7571396231651306
128,"bom dia! como você está meu nome é elisangela e irei te ajudar da melhor maneira possível. 😊

primeiramente pedimos desculpas pelo tempo de espera.

poderia me informar o cpf para que eu consiga verificar a sua conta, por gentileza

qualquer dúvida, fico à disposição!

aguardo seu retorno!

desde já, quero agradecer o seu contato! tenha uma ótima semana!

atenciosamente,

elisangela s",aguardar,0.6482424736022949
132,desculpe pelo tempo de espera. agora estou aqui para lhe ajudar! 🥰,aguardar,0.7156977653503418
136,"em relação ao limite, como houve atraso em relação as faturas anteriores, o limite foi reduzido.",questionamento,0.43248671293258667
140,"siga este caminho: acesse seu aplicativo, clique em ""ver perfil"", no canto superior esquerdo abaixo do nome, vá em ""segurança"", depois em ""alterar senha do cartão"".",seguir,0.9195428490638733
144,"fernanda, verifiquei em meu sistema e está tudo certinho com o pagamento de sua fatura, inclusive já consta como paga no dia 09/11, e seu limite também já foi restabelecido.",aguardar,0.4250715970993042
145,"fernanda, verifiquei em meu sistema e está tudo certinho com o pagamento de sua fatura, inclusive já consta como paga no dia 09/11, e seu limite também já foi restabelecido.",seguir,0.41318565607070923
148,no dia 24/10/2023 foi efetivado um parcelamento.,aguardar,0.4875359535217285
156,"me envia também o comprovante que eles te enviaram, por favor.",seguir,0.48084813356399536
164,"por isso, oriento que acompanhe pelo link que passei no início do chat.",seguir,0.6729206442832947
168,"carolina, verifiquei por aqui que o pagamento foi feito no dia 17, então pode ser por isso que ainda está recebendo as notificações.",questionamento,0.5637421607971191
172,"com posse dos seus dados, o estabelecimento consegue realizar cobranças, mesmo de forma equivocada.",seguir,0.5212481021881104
176,se a compra for aprovada ela será lançada em fatura para haver a cobrança normalmente.,seguir,0.4284917414188385
184,"alessandra, não foi possível realizar a entrega de seu cartão, pois o motivo aparece como: ""desconhecido (destinatário / interlocutor)"".",negativa,0.5919826626777649
192,"eu vou enviar sua solicitação para um colega que pode te ajudar nisso, ",aguardar,0.5511064529418945
196,"caso tenha alguma dúvida, pode nos enviar uma mensagem. 💛

estamos sempre à disposição! 💛",questionamento,0.5012174248695374
200,"ana, o seu vencimento só será efetivado para os próximos messes, no mês maio o seu vencimento continuará para o dia  25.",seguir,0.6152288913726807
204,"lucrecia, você possui mais alguma dúvida estou à sua disposição!",questionamento,0.6123040318489075
208,primeiramente gostaria de pedir mil desculpas pelo tempo em espera! essa não é a experiência que gostaríamos que você tivesse conosco! muito obrigado por aguardar!🙏,negativa,0.5237922668457031
212,"oi, bia, boa noite!  com você eu sou a mel e vou realizar o seu atendimento. 😊",seguir,0.635355532169342
216,"wilkinson, uma compra realizada pode ser lançada na mesma hora na fatura, ou levar um tempinho maior, e isso é normal. ⏰",seguir,0.5714304447174072
220,"gus, se quiser, posso chamar um colega especializado no assunto para te ajudar com essa questão da melhor forma! o que acha 🙏​",questionamento,0.4524279534816742
228,"daiane, neste caso, será necessário realizar uma nova tentativa mais tarde.",seguir,0.43567416071891785
232,"sua fatura continuará chegando por e-mail e você também pode emitir uma nova via da fatura, sem precisar do seu cartão, no app. também poderá emitir uma via de antecipação da fatura, se desejar.",seguir,0.6955965161323547
236,"o aviso foi enviado no e-mail cadastrado, informando a redução, beleza",aguardar,0.4539017081260681
240,te ajudo em algo mais,aguardar,0.6272029280662537
244,pedimos desculpas pela demora no retorno.,negativa,0.47799092531204224
252,"prontinho! o reenvio foi solicitado e o prazo de entrega é de até 20 dias úteis, contando a partir de hoje (não contamos os finais de semana e feriados).",seguir,0.42988961935043335
256,obrigada por aguardar!,aguardar,0.49936643242836
260,"agradeço pelo envio da foto, aguarde um instante, por gentileza.",aguardar,0.8822590708732605
264,"o prazo de entrega em seu endereço é de até 20 dias úteis, contando a partir de hoje.",seguir,0.46029260754585266
268,"após seguir as orientações anteriores, aparecerá a tela de simulação de parcelamento e então você insere o valor de entrada.",seguir,0.946147620677948
272,"desculpa pela demora, mas já estou aqui para te auxiliar.",aguardar,0.45562490820884705
284,"kaique, depois é só revisar todas as informações com calma e confirmar, ",questionamento,0.695844292640686
288,"para alterar seu e-mail preciso que você me envie, por favor, uma foto sua segurando uma folha de papel ao lado do seu rosto, escrito o código ""s0793219"".",aguardar,0.5288193821907043
292,"o prazo para que o valor seja reembolsado é em até 08 dias, podendo se estender até os próximos 02 fechamentos das suas faturas.",seguir,0.5361238718032837
300,- é possível acompanhar a entrega pelo aplicativo. importante mantê-lo atualizado;,aguardar,0.5285046100616455
304,"➡️cdb é uma sigla para certificado de depósito bancário, um investimento de renda fixa projetado por instituições financeiras.",seguir,0.46715855598449707
316,você deve pedir o estorno de um dos valores diretamente para a loja.,questionamento,0.4994252324104309
320,"a cada r$ 50,00 você ganha uma cartela.",seguir,0.419479638338089
324,"se você concorda com a solicitação da 2ª via, é só me informar o endereço de entrega da nova via do cartão, de acordo com o modelo abaixo, por favor:
cep:
rua:
n°:
complemento (casa, apto, bloco, etc):
ponto de referência (se tiver):
bairro:
cidade:
estado:",aguardar,0.49164795875549316
328,"se puder avaliar o meu atendimento, por gentileza, ficarei muito agradecida, é bastante importante para mim! ❤️",aguardar,0.7910782694816589
340,"geralmente recebe um e-mail que recebeu confirmando o cancelamento ou essas informações ficam disponíveis no site/aplicativo. serve como comprovante, desde que contenha as informações necessárias.",seguir,0.5344285368919373
344,"se quiser continuar ganhando os aumentos até atingir o limite de r$ 500,00, você precisa seguir as regras.",seguir,0.884821355342865
348,"caso tenha mais alguma dúvida, pode nos contatar a qualquer momento e iremos te ajudar, ",aguardar,0.6862351894378662
352,"sim, o parcelamento com entrada de r$ 300,00 + 2 parcelas de r$ 488,50 foi efetivado. 😊",seguir,0.6479188799858093
356,"viviane, muito obrigada por nos passar sua dúvida de forma detalhada. vou te transferir para um colega que consegue te ajudar melhor nesta questão,  é só aguardar na tela do chat, por favor. ❤️",aguardar,0.8427796363830566
368,"no momento, já temos algumas implementadas aqui no aplicativo:",negativa,0.47723451256752014
372,"o pagamento poderá ser feito em agências bancárias, casas lotéricas, caixas eletrônicos ou internet banking.",aguardar,0.5085068941116333
380,só para esclarecer e encontrar a melhor solução para o seu caso.,questionamento,0.5676976442337036
384,nós não conseguimos realizar esse aumento aqui no chat. 😔,negativa,0.7161160111427307
388,"agradeço o contato! qualquer dúvida ou solicitação, só nos chamar aqui no chat novamente, estamos sempre à disposição. 😊",aguardar,0.6632329225540161
392,"e peço gentilmente que avalie meu atendimento e, se puder, deixe um comentário. isso ajuda muito no meu trabalho! 😎🌹",aguardar,0.41305434703826904
396,"pra visualizar, é só seguir essas orientações:
— na tela inicial do app, vá em ""cartão de crédito"";
— depois ""fatura aberta"";
— por fim ""valores recebidos"".",seguir,0.968593180179596
